respondent_id,leader
2,Lisa Charlotte Rost
3,New York Times
4,Edward Tufte
4,Alberto Cairo
4,Andy Kirk
4,Elijah Meeks
4,Lisa Charlotte Rost
4,Shirley Wu
4,Nadieh Bremer
5,Elijah Meeks
5,Nadieh Bremer
5,Shirley Wu
5,Mike Bostock
6,Mike Bostock
6,Plotly
7,Tableau
7,PowerBI
11,Koponen
11,Hildén
13,Susie Lu
13,Nadieh Bremer
13,Mike Bostock
13,Hadley Wickham
15,Elijah Meeks
15,Nadieh Bremer
15,Edward Tufte
19,Scott Murray
19,Nadieh Bremer
19,Andy Kirk
19,Shirley Wu
19,Alberto Cairo
20,Shirley Wu
23,Adam Pearce
23,Denise Lu
23,Pudding
24,Alberto Cairo
24,Elijah Meeks
24,Andy Kirk
24,Edward Tufte
25,Alberto Cairo
25,Mike Bostock
25,Giorgia Lupi
26,Edward Tufte
26,Mike Bostock
26,Maarten Lambrechts
27,Elijah Meeks
28,Jay Jacobs
28,Bob Russia
29,Mike Bostock
30,Mike Bostock
31,Mike Bostock
32,Mike Bostock
33,Mike Bostock
34,Mike Bostock
35,Nadieh Bremer
36,Nadieh Bremer
37,Pudding
59,Elijah Meeks
59,Nadieh Bremer
59,Mike Bostock
60,Nadieh Bremer
66,Alberto Cairo
67,Andy Kriebel
68,Steven Franconeri
83,Elijah Meeks
83,Enrico Bertini
83,Moritz Stefaner
83,Nadieh Bremer
83,Alberto Cairo
84,Amanda Cox
85,Scott Murray
85,Alli Torban
85,Elijah Meeks
85,Nathan Yau
85,Alberto Cairo
85,Simon Rogers
88,Andy Kirk
89,Ann Emery
90,Elijah Meeks
90,Shirley Wu
90,Nadieh Bremer
90,Hadley Wickham
90,Alberto Cairo
90,Adam Pearce
90,Mike Bostock
90,Micah Stubbs
90,Daniel Shiffman
90,RJ Andrews
90,Katya Ognyanova
91,Elijah Meeks
91,susie lu
91,Nadieh Bremer
91,Mike Freeman
91,Jessica Rosenkrantz
91,Sara Soueidan
91,tom shanley
91,mike bostock
91,ian johnson
91,fil
91,curran
91,NA
92,Mike Bostock
93,Mike Bostock
93,Nadieh Bremer
94,Nadieh Bremer
95,Stephanie Evergreen
95,Ann Emery
97,@timelyportfolio
98,Alberto Cairo
98,Elijah Meeks
98,Tableau Zen Masters
99,Andy Cotgreave
99,Andy Kirk
100,Andy Kriebel
100,Eva Murray
101,Cole Knafflic
102,Cole Knaflic
102,Jon Schwabish
102,Ben Goldacre
103,Cole Nussbaumer Knaflic
103,Randy Krum
103,Alan Smith OBE
104,Elijah Meeks
104,Alberto Cairo
105,Elijah Meeks
105,Alberto Cairo
105,Lisa Charlotte Rost
105,Shirley Wu
105,Nadieh Bremer
105,Cole Knaflic
105,David Robinson
105,Hadley Wickham
105,Skye Monet
106,Elijah Meeks
106,Bora Beran
107,Hadley Wickham
108,Hadley Wickham
108,Nathan Yau
108,Financial Times
109,Jeff Heer
110,Jonni Walker
110,Nadieh Bremer
111,Kaggle
112,Mike Bostock
113,Mike Bostock
114,Mike Bostock
115,Mike Bostock
116,Mike Bostock
116,Stephen Few
117,Moritz Stefaner
118,Nadieh Bremer
119,Nadieh Bremer
119,Alberto Cairo
120,Noah Veltman
120,Rich Harris
120,Michael Keller
120,Nadja Popovich
121,Tableau Zen Masters
122,Tableau Zen Masters
123,yann le meur
